meeting,source_file,source_uuid,principles_count,transcript_length,end_to_end,robustness,layering,fate_sharing,least_surprise,rough_consensus,ossification,tussle,simplicity,trust,connectivity,constant_change
ietf110,ietf110_v6ops_28587.vcon.json,1e6a291d-84ea-4202-9ce9-cfed3e1662e3,1,88716,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_webtrans_28570.vcon.json,98bb1c5c-c3e6-44de-a26d-f742f4f9186b,2,87744,0,0,0,1,0,0,0,0,0,0,0,1
ietf110,ietf110_wish_28739.vcon.json,408eca33-da02-4d32-b99e-b2780dbbec5d,3,91001,0,0,0,1,0,0,0,0,1,0,0,1
ietf110,ietf110_wpack_28732.vcon.json,b84610a6-988a-4ab5-a996-236465f5969c,3,43912,0,0,0,0,0,1,0,0,1,0,0,1
ietf111,ietf111_6lo_28963.vcon.json,69141955-8a1c-43aa-a308-645aeacd71ad,2,39655,0,0,1,0,0,0,0,0,1,0,0,0
ietf111,ietf111_6man_28833.vcon.json,acaf52bd-95bd-4032-9195-5dc4087d8d02,2,99012,0,1,1,0,0,0,0,0,0,0,0,0
ietf111,ietf111_ace_28914.vcon.json,bb8613bc-5998-4155-97e3-be86c4d8f92a,1,41234,0,0,0,0,0,0,0,0,0,0,0,1
ietf111,ietf111_acme_28932.vcon.json,825cbb05-b99c-4fa1-8efd-0854169d68b1,2,25083,0,1,0,0,0,0,0,0,0,1,0,0
ietf111,ietf111_alto_28912.vcon.json,aacfa565-dad2-4408-8b18-75273db1d3b6,1,50377,0,0,0,1,0,0,0,0,0,0,0,0
ietf111,ietf111_anima_28959.vcon.json,0d3fdc3a-3c3f-417c-9d68-0d5e62b6fba2,2,47875,0,0,1,0,0,0,0,0,0,0,0,1
ietf111,ietf111_anrw_28851.vcon.json,0386816c-90d0-4473-8356-4f7fb4fd80bb,1,85276,0,0,1,0,0,0,0,0,0,0,0,0
ietf111,ietf111_apn_28976.vcon.json,b2862c0d-fa3e-4c71-b135-4118faf195d2,2,83671,0,0,1,0,0,0,0,0,1,0,0,0
ietf111,ietf111_avtcore_28843.vcon.json,7811df67-03a9-4e5c-a6ad-9d090e21f875,2,78807,1,0,0,1,0,0,0,0,0,0,0,0
ietf111,ietf111_babel_28853.vcon.json,21a234de-f657-4207-b35d-e9e8f5415f4d,3,48946,0,0,1,1,0,0,0,0,0,0,0,1
ietf111,ietf111_bess_28832.vcon.json,92c60130-94ec-4887-84fb-8d67f3ce0d5a,2,81012,0,0,1,1,0,0,0,0,0,0,0,0
ietf111,ietf111_bmwg_28855.vcon.json,a5e904c7-f28c-4431-ba13-fb1883584d24,3,92255,0,0,1,0,0,1,0,0,1,0,0,0
ietf111,ietf111_ccamp_28835.vcon.json,ba662d66-881a-4e5a-b377-fb84c5eef8d4,3,75279,0,0,1,1,0,0,0,0,0,0,1,0
ietf111,ietf111_cfrg_28836.vcon.json,162729e4-5b24-48af-8ab9-751bde3e701d,2,87527,0,0,0,0,0,1,0,0,0,1,0,0
ietf111,ietf111_coinrg_28848.vcon.json,8c4a2890-afd2-4f0e-aeba-1d11a739fc22,2,84993,0,0,0,1,0,0,0,0,1,0,0,0
ietf111,ietf111_core_28943.vcon.json,3937e83e-41a9-4b96-9dd4-10076969fe03,2,92028,0,0,0,1,0,1,0,0,0,0,0,0
ietf111,ietf111_cose_28838.vcon.json,372322dc-ba84-413b-bbca-eeb7cd1692d8,2,33852,0,0,0,1,0,0,0,0,0,0,0,1
ietf111,ietf111_danish_28975.vcon.json,95f14cda-b983-49a3-8ae0-66e534e86aa7,3,92847,0,0,0,1,0,0,0,0,1,1,0,0
ietf111,ietf111_detnet_28842.vcon.json,ef1aa4cc-ff95-45d3-a07b-31ca1fd83ca2,2,43559,0,0,1,1,0,0,0,0,0,0,0,0
ietf111,ietf111_dispatch_28840.vcon.json,054f2cb3-3cb4-4948-9f77-a3c619c5812d,4,95306,0,1,0,1,0,1,0,0,0,0,0,1
ietf111,ietf111_dnssd_28969.vcon.json,e0900785-2e66-4d7a-813a-1d3dc2c74053,1,47252,0,0,1,0,0,0,0,0,0,0,0,0
ietf111,ietf111_drip_28916.vcon.json,b443dc56-7bfa-415e-ac02-5a7513806080,1,45521,0,0,1,0,0,0,0,0,0,0,0,0
ietf111,ietf111_dtn_28887.vcon.json,ec7c1132-d803-4b90-9c63-48adc4369edd,4,92912,1,1,0,1,0,0,0,0,0,0,1,0
ietf111,ietf111_emailcore_28897.vcon.json,fb4ef8fe-0590-40c6-98aa-5232bad13a2c,1,31911,0,0,0,0,0,0,0,0,0,0,0,1
ietf111,ietf111_emu_28945.vcon.json,2f2b4753-6913-48df-ad6c-e9af2df3fc35,3,34747,0,0,0,0,0,1,0,0,0,1,0,1
ietf111,ietf111_gendispatch_28841.vcon.json,1510a5e4-cbd4-4f62-9c69-ba5a7af5a60d,1,73546,0,0,0,0,0,0,0,0,0,0,0,1
ietf111,ietf111_gnap_28860.vcon.json,1903d534-c4d5-46c7-a013-748a68c674e0,4,78775,0,0,0,1,0,1,0,0,0,1,0,1
ietf111,ietf111_grow_28913.vcon.json,526f7b73-1857-4bc5-abf3-e6f5f681c04f,3,44059,0,0,0,0,0,1,0,0,1,0,0,1
ietf111,ietf111_hrpc_28849.vcon.json,7cbb8662-1efa-4562-a27e-42604fcda67a,1,52307,0,0,0,0,0,0,0,1,0,0,0,0
ietf111,ietf111_httpapi_28872.vcon.json,33962377-1491-4d53-87fa-5c12e5e1547a,1,41288,0,0,0,0,0,0,0,0,1,0,0,0
ietf111,ietf111_iabopen_28881.vcon.json,8a1d79df-aaa9-4fba-9269-7f563dd3b11a,3,48344,0,0,1,0,0,0,1,0,0,0,0,1
ietf111,ietf111_idr_28874.vcon.json,5781287e-9cad-49ac-a1a4-837cef3a88af,2,45066,0,0,1,1,0,0,0,0,0,0,0,0
ietf111,ietf111_ietf_28988.vcon.json,948d518e-4df1-48e9-ba4c-10224f16228e,1,76930,0,0,0,0,0,1,0,0,0,0,0,0
ietf111,ietf111_intarea_28870.vcon.json,048b254a-b37f-45a2-b2a1-8da7a49a63c1,3,94192,0,0,1,0,0,0,0,0,1,0,0,1
ietf111,ietf111_iotops_28899.vcon.json,951a42d9-7a20-4c9a-8071-b0944ee0644b,3,98112,0,0,1,0,0,1,0,0,0,1,0,0
ietf111,ietf111_ippm_28890.vcon.json,4e79c408-10cb-4e9c-b49a-97906aa36408,1,69968,0,0,0,0,0,1,0,0,0,0,0,0
ietf111,ietf111_jmap_28922.vcon.json,8bd38014-4265-4e1b-8144-ee093ad3d8b0,1,73425,0,0,0,0,0,0,0,0,0,0,0,1
ietf111,ietf111_lake_28931.vcon.json,640f7bee-3b20-4ec3-a071-d3049faa3351,1,45209,0,0,0,0,0,0,0,0,0,0,0,1
ietf111,ietf111_lamps_28825.vcon.json,f5c6b8b8-f1cb-4ef2-9050-b51fa225f0c1,1,49912,0,0,0,0,0,0,0,0,0,0,1,0
ietf111,ietf111_lisp_28846.vcon.json,4acb8e11-b020-437b-bdd8-4a241a903eaa,2,44582,0,0,1,0,0,0,0,0,0,0,0,1
ietf111,ietf111_lsr_28845.vcon.json,e693045f-54ff-4b87-aa43-cc0d28b3c8cc,4,85034,0,0,0,1,0,1,0,0,0,0,1,1
ietf111,ietf111_madinas_28974.vcon.json,a74c89dd-5045-4636-9ce7-68ce5a5deb0b,2,71081,0,0,1,0,0,1,0,0,0,0,0,0
ietf111,ietf111_manet_28949.vcon.json,3e1d398f-d5b1-4a05-958c-f3a63d297036,1,37791,0,0,1,0,0,0,0,0,0,0,0,0
ietf111,ietf111_maprg_28907.vcon.json,a0a8dff2-be67-46e9-859b-1b263895150c,2,50797,0,0,0,1,0,0,1,0,0,0,0,0
ietf111,ietf111_masque_28929.vcon.json,20c53073-9af0-46b6-972c-10816aea0555,5,103378,0,0,1,1,0,0,1,0,0,0,1,1
ietf111,ietf111_mboned_28889.vcon.json,5577383e-df97-4900-aaa4-38c13ff67ae1,2,50187,0,0,1,0,0,0,0,0,0,0,0,1
ietf111,ietf111_mops_28938.vcon.json,b6edc6a1-ed08-4329-ba98-5d84a1c8fb14,2,96800,0,0,0,0,0,0,0,0,0,0,1,1
